# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
6 2.449490 0.904130 -0.002590 192000 128
8 2.828427 0.902049 -0.002407 96000 128
9 3.000000 0.901211 -0.002264 240000 128
10 3.162278 0.900462 -0.002119 192000 128
11 3.316625 0.899921 -0.002221 192000 128
12 3.464102 0.899510 -0.002148 64000 128
13 3.605551 0.898506 -0.001943 192000 128
14 3.741657 0.898286 -0.002281 384000 128
16 4.000000 0.897562 -0.002670 48000 128
17 4.123106 0.897361 -0.002260 384000 128
18 4.242641 0.896967 -0.002040 288000 128
19 4.358899 0.896489 -0.001841 192000 128
20 4.472136 0.896673 -0.001936 192000 128
21 4.582576 0.896357 -0.002073 384000 128
22 4.690416 0.895620 -0.002018 192000 128
24 4.898979 0.895300 -0.001542 192000 128
25 5.000000 0.895659 -0.001826 240000 128
26 5.099020 0.895343 -0.001951 576000 128
27 5.196152 0.894642 -0.002238 256000 128
29 5.385165 0.894709 -0.001948 576000 128
30 5.477226 0.894637 -0.001920 384000 128
32 5.656854 0.894961 -0.000914 96000 128
33 5.744563 0.894286 -0.001741 384000 128
34 5.830952 0.894148 -0.001957 384000 128
35 5.916080 0.894247 -0.001759 384000 128
36 6.000000 0.893601 -0.001984 240000 128
37 6.082763 0.893812 -0.001882 192000 128
38 6.164414 0.893550 -0.001741 576000 128
40 6.324555 0.893767 -0.002174 192000 128
41 6.403124 0.893838 -0.001605 768000 128
42 6.480741 0.893613 -0.001562 384000 128
43 6.557439 0.892396 -0.002055 192000 128
44 6.633250 0.893016 -0.001616 192000 128
45 6.708204 0.893151 -0.001530 576000 128
46 6.782330 0.893361 -0.001434 384000 128
48 6.928203 0.892115 -0.001752 64000 128
49 7.000000 0.892927 -0.001608 432000 128
50 7.071068 0.892753 -0.001681 672000 128
51 7.141428 0.893059 -0.001486 384000 128
52 7.211103 0.892947 -0.000824 192000 128
53 7.280110 0.892961 -0.001323 576000 128
54 7.348469 0.892971 -0.001580 768000 128
56 7.483315 0.892383 -0.001554 384000 128
57 7.549834 0.892152 -0.001498 384000 128
58 7.615773 0.892737 -0.001726 192000 128
59 7.681146 0.892549 -0.001589 576000 128
61 7.810250 0.892251 -0.001544 576000 128
62 7.874008 0.892726 -0.001313 768000 128
64 8.000000 0.891908 -0.001197 48000 128
65 8.062258 0.892562 -0.001401 768000 128
66 8.124038 0.892554 -0.001240 768000 128
67 8.185353 0.891661 -0.001064 192000 128
68 8.246211 0.891974 -0.001781 384000 128
69 8.306624 0.892716 -0.001157 768000 128
70 8.366600 0.891364 -0.001885 384000 128
72 8.485281 0.892340 -0.000849 288000 128
73 8.544004 0.892073 -0.001139 384000 128
74 8.602325 0.892441 -0.001145 960000 128
75 8.660254 0.891993 -0.001014 448000 128
76 8.717798 0.891537 -0.001506 192000 128
77 8.774964 0.892004 -0.001594 768000 128
78 8.831761 0.891811 -0.001369 384000 128
80 8.944272 0.892022 -0.001052 192000 128

# r^2 r orientational_FE_correlation[r^2] orientational_AFE_correlation[r^2] orientational_count[r^2] T
