LOCAL ORDER: 
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
76 8.717798 -0.000282 288000 768
77 8.774964 -0.000035 1152000 768
78 8.831761 0.001132 576000 768
80 8.944272 0.000835 288000 768

Moves: 3000 CageStrain: 1.000000 T: 768 Landau: 0.000162
CageStrain: 1.000000 T: 128 DMAX: 7.759918 new_DMAX: 18.089153 variance: 49.954582 mean: -1.033733
CageStrain: 1.000000 T: 128 DMAX: 18.089153 new_DMAX: 18.089153 variance: 49.954582 mean: -1.033733
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 128
1 1.000000 0.814488 72000 128
2 1.414214 0.758410 144000 128
3 1.732051 0.722550 96000 128
4 2.000000 0.701853 72000 128
5 2.236068 0.672383 288000 128
6 2.449490 0.647417 288000 128
8 2.828427 0.606000 144000 128
9 3.000000 0.587778 360000 128
10 3.162278 0.572437 288000 128
11 3.316625 0.554581 288000 128
12 3.464102 0.533559 96000 128
13 3.605551 0.521639 288000 128
14 3.741657 0.505582 576000 128
16 4.000000 0.485942 72000 128
17 4.123106 0.466230 576000 128
18 4.242641 0.455138 432000 128
19 4.358899 0.437142 288000 128
20 4.472136 0.430733 288000 128
21 4.582576 0.417728 576000 128
22 4.690416 0.399399 288000 128
24 4.898979 0.381858 288000 128
25 5.000000 0.375133 360000 128
26 5.099020 0.365724 864000 128
27 5.196152 0.359667 384000 128
29 5.385165 0.333694 864000 128
30 5.477226 0.332521 576000 128
32 5.656854 0.305181 144000 128
33 5.744563 0.299200 576000 128
34 5.830952 0.288654 576000 128
35 5.916080 0.285414 576000 128
36 6.000000 0.274725 360000 128
37 6.082763 0.290301 288000 128
38 6.164414 0.266294 864000 128
40 6.324555 0.263488 288000 128
41 6.403124 0.244202 1152000 128
42 6.480741 0.230685 576000 128
43 6.557439 0.219358 288000 128
44 6.633250 0.230567 288000 128
45 6.708204 0.212963 864000 128
46 6.782330 0.216457 576000 128
48 6.928203 0.180321 96000 128
49 7.000000 0.197880 648000 128
50 7.071068 0.187326 1008000 128
51 7.141428 0.193433 576000 128
52 7.211103 0.178105 288000 128
53 7.280110 0.179681 864000 128
54 7.348469 0.173653 1152000 128
56 7.483315 0.150617 576000 128
57 7.549834 0.150426 576000 128
58 7.615773 0.163830 288000 128
59 7.681146 0.146097 864000 128
61 7.810250 0.123790 864000 128
62 7.874008 0.130995 1152000 128
64 8.000000 0.172088 72000 128
65 8.062258 0.125489 1152000 128
66 8.124038 0.121317 1152000 128
67 8.185353 0.110507 288000 128
68 8.246211 0.115475 576000 128
69 8.306624 0.120770 1152000 128
70 8.366600 0.079711 576000 128
72 8.485281 0.109606 432000 128
73 8.544004 0.097854 576000 128
74 8.602325 0.091872 1440000 128
75 8.660254 0.074526 672000 128
76 8.717798 0.063795 288000 128
77 8.774964 0.071873 1152000 128
78 8.831761 0.063463 576000 128
80 8.944272 0.082888 288000 128

Moves: 4000 CageStrain: 1.000000 T: 128 Landau: 0.008278
CageStrain: 1.000000 T: 640 DMAX: 18.089153 new_DMAX: 9.610872 variance: 7.472062 mean: 0.249830
CageStrain: 1.000000 T: 640 DMAX: 9.610872 new_DMAX: 9.610872 variance: 7.472062 mean: 0.249830
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 640
1 1.000000 0.175928 72000 640
2 1.414214 0.055228 144000 640
3 1.732051 0.021274 96000 640
4 2.000000 0.038168 72000 640
5 2.236068 0.016680 288000 640
6 2.449490 0.006454 288000 640
8 2.828427 0.003504 144000 640
9 3.000000 0.001017 360000 640
10 3.162278 0.002735 288000 640
11 3.316625 0.001729 288000 640
12 3.464102 -0.006255 96000 640
13 3.605551 -0.001424 288000 640
14 3.741657 -0.000131 576000 640
16 4.000000 0.002958 72000 640
17 4.123106 -0.001459 576000 640
18 4.242641 -0.002352 432000 640
19 4.358899 -0.000101 288000 640
20 4.472136 -0.001692 288000 640
21 4.582576 -0.003097 576000 640
22 4.690416 -0.002480 288000 640
24 4.898979 -0.006090 288000 640
25 5.000000 0.000914 360000 640
26 5.099020 -0.000293 864000 640
27 5.196152 -0.001240 384000 640
29 5.385165 -0.001612 864000 640
30 5.477226 -0.001132 576000 640
32 5.656854 0.003303 144000 640
33 5.744563 -0.000778 576000 640
34 5.830952 -0.000860 576000 640
35 5.916080 -0.000076 576000 640
36 6.000000 -0.000377 360000 640
37 6.082763 -0.000589 288000 640
38 6.164414 -0.001307 864000 640
40 6.324555 -0.003679 288000 640
41 6.403124 -0.002011 1152000 640
42 6.480741 -0.000202 576000 640
43 6.557439 -0.001435 288000 640
44 6.633250 -0.005972 288000 640
45 6.708204 -0.001740 864000 640
46 6.782330 -0.001826 576000 640
48 6.928203 0.000750 96000 640
49 7.000000 -0.000839 648000 640
50 7.071068 0.000462 1008000 640
51 7.141428 0.001024 576000 640
52 7.211103 -0.000675 288000 640
53 7.280110 0.000342 864000 640
54 7.348469 -0.001067 1152000 640
56 7.483315 -0.001176 576000 640
57 7.549834 -0.001058 576000 640
58 7.615773 -0.000726 288000 640
59 7.681146 0.000271 864000 640
61 7.810250 -0.000281 864000 640
62 7.874008 0.000132 1152000 640
64 8.000000 -0.004299 72000 640
65 8.062258 -0.001077 1152000 640
66 8.124038 -0.000714 1152000 640
67 8.185353 -0.000159 288000 640
68 8.246211 -0.002175 576000 640
69 8.306624 -0.001700 1152000 640
70 8.366600 0.001339 576000 640
72 8.485281 -0.002616 432000 640
73 8.544004 0.000464 576000 640
74 8.602325 -0.000363 1440000 640
75 8.660254 0.000627 672000 640
76 8.717798 0.000674 288000 640
77 8.774964 0.000346 1152000 640
78 8.831761 0.003627 576000 640
80 8.944272 -0.002544 288000 640

Moves: 5000 CageStrain: 1.000000 T: 640 Landau: 0.000131
CageStrain: 1.000000 T: 384 DMAX: 9.610872 new_DMAX: 10.605115 variance: 14.007711 mean: 0.119011
CageStrain: 1.000000 T: 384 DMAX: 10.605115 new_DMAX: 10.605115 variance: 14.007711 mean: 0.119011
# r^2 r orientational_correlation[r^2] orientational_count[r^2] T
0 0.000000 1.000000 12000 384
1 1.000000 0.409619 72000 384
2 1.414214 0.293861 144000 384
3 1.732051 0.244790 96000 384
